TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID
3/6/2020 0:00,TXN00000090,A00006267,PLC00000932,7/8/2017,27/5/2020,29/5/2020,Health,199.63,16000,Kate Tito,6228 West Larkspur Drive,,Glendale,AZ,85304,290-88-1317,N,26,47,Y,3,L,Mortgage,MI,55301220,WIXZ74111109339982,High School,A,Major Loss,Police,1,1,FL,Panama City,9,AGENT00428,
4/6/2020 0:00,TXN00000092,A00009572,PLC00006462,16/1/2019,15/5/2020,20/5/2020,Health,153.52,19000,Vivian Kiesel,120 North Hurstbourne Parkway,#622,Louisville,KY,40222,300-10-2252,Y,28,108,Y,6,L,Rent,MI,74447301,TYFC08826193597098,High School,A,Minor Loss,Other,1,0,TN,Nashville,9,AGENT00573,VNDR00532
4/6/2020 0:00,TXN00000093,A00007477,PLC00008821,5/6/2015,23/5/2020,28/5/2020,Health,116.27,7000,Anthony Carpenter,178 Old Homestead Road,,Danville,VT,5873,653-32-2994,Y,60,119,Y,3,H,Own,HI,96851302,XWLE56259722141004,High School,A,Major Loss,Ambulance,1,1,CA,Oakland,7,AGENT00474,VNDR00251
4/6/2020 0:00,TXN00000114,A00001148,PLC00001545,19/6/2018,15/5/2020,20/5/2020,Health,189.17,10000,Jorge Anderson,4331 Foeburn Lane,,Louisville,KY,40207,692-56-5856,Y,47,11,Y,2,L,Rent,HI,65804995,GQSO10717982606748,High School,D,Total Loss,Police,0,0,CO,Arvada,17,AGENT00438,
5/6/2020 0:00,TXN00000140,A00002597,PLC00000553,5/7/2018,31/5/2020,1/6/2020,Health,121.26,3000,Rodney Miller,2068 Happy Lane,,Crofton,MD,21114,173-81-9522,Y,39,96,Y,5,M,Rent,MI,73287164,JTWJ38538262900895,High School,A,Total Loss,Ambulance,1,1,MA,Fall River,7,AGENT00639,VNDR00375
5/6/2020 0:00,TXN00000141,A00007505,PLC00005897,10/12/2019,16/5/2020,21/5/2020,Health,188.54,17000,Gary Frey,25721 Berryhill Road,,Anchorage,AK,99577,361-41-6956,N,31,67,Y,2,L,Mortgage,LI,59549965,KBNU55375330544312,Bachelor,A,Minor Loss,Police,1,0,GA,Savannah,10,AGENT00929,VNDR00583
6/6/2020 0:00,TXN00000152,A00005318,PLC00008962,6/10/2011,22/5/2020,27/5/2020,Health,135.82,16000,Catherine Sisco,800 West Street,,Panama City,FL,32404,705-23-3691,Y,32,9,Y,7,M,Own,LI,34202117,JPAU82001376717554,Bachelor,A,Major Loss,None,1,1,VT,Pawlet,10,AGENT00391,VNDR00292
6/6/2020 0:00,TXN00000156,A00007341,PLC00009169,10/5/2012,26/5/2020,31/5/2020,Health,124.56,8000,Deanna Humiston,439 Crestmont Drive,,Oakland,CA,94619,600-55-8563,Y,27,93,Y,4,M,Rent,LI,52209969,CAYF51585495045486,PhD,A,Total Loss,Ambulance,1,1,CO,Arvada,16,AGENT00031,
6/6/2020 0:00,TXN00000160,A00003149,PLC00005923,7/7/2013,1/6/2020,2/6/2020,Health,121.92,20000,Keith Martel,17020 West 64th Drive,,Arvada,CO,80007,562-73-6287,Y,60,29,Y,6,L,Rent,HI,58373983,XEBM72293296799002,High School,A,Total Loss,None,1,1,AL,Montgomery,9,AGENT00889,VNDR00397
6/6/2020 0:00,TXN00000162,A00009530,PLC00009483,31/8/2011,18/5/2020,23/5/2020,Health,187.72,1000,Calvin Howell,3425 North Futrall Drive,,Fayetteville,AR,72703,276-56-3370,Y,54,85,Y,7,H,Own,MI,101329020,TCAF46090102086345,Bachelor,D,Minor Loss,None,1,0,MD,Severn,19,AGENT00568,
6/6/2020 0:00,TXN00000171,A00002764,PLC00001151,13/5/2019,3/6/2020,3/6/2020,Health,164.79,8000,Tony Hunter,127 Andover Drive,,Savannah,GA,31405,735-22-1634,Y,36,100,Y,5,M,Mortgage,MI,29894365,WDEE57746224784089,Masters,A,Minor Loss,Police,1,0,AL,Montgomery,13,AGENT00781,
6/6/2020 0:00,TXN00000177,A00003613,PLC00007162,8/1/2013,3/6/2020,3/6/2020,Health,140.37,5000,Walter Thibodeaux,5529 East Saddleridge Drive,,Fayetteville,AR,72703,066-80-1161,N,52,87,Y,4,H,Own,MI,16866571,UROP89090452769409,College,A,Minor Loss,Police,1,0,CO,Arvada,3,AGENT00905,
7/6/2020 0:00,TXN00000185,A00002397,PLC00002699,8/9/2015,31/5/2020,2/6/2020,Health,183.13,12000,Mark Jones,10819 Bluegrass Parkway,,Jeffersontown,KY,40299,580-84-3030,N,60,43,Y,6,L,Mortgage,MI,96070361,TMUY79955993227304,Bachelor,A,Total Loss,Ambulance,0,0,MA,Scituate,20,AGENT00543,VNDR00429
7/6/2020 0:00,TXN00000197,A00008439,PLC00008346,1/10/2012,5/6/2020,5/6/2020,Health,145.92,11000,Mary Bentz,12 Fletcher Lane,,Shelburne,VT,5482,473-39-8600,Y,60,41,Y,4,M,Rent,HI,53877400,HEDB45849625461825,Bachelor,A,Total Loss,Ambulance,0,1,AL,Montgomery,6,AGENT00739,VNDR00279
7/6/2020 0:00,TXN00000198,A00007899,PLC00009038,1/9/2012,30/5/2020,2/6/2020,Health,148.66,16000,Susan Ridgeway,15510 Champion Lakes Place,,Louisville,KY,40245,329-24-9833,Y,61,11,Y,7,L,Rent,LI,78025622,QAGV22303050448390,Bachelor,A,Minor Loss,Police,1,1,MA,Springfield,2,AGENT01194,
7/6/2020 0:00,TXN00000207,A00000149,PLC00007673,24/8/2013,6/6/2020,6/6/2020,Health,181.29,6000,Gail Mauldin,165 Saint John Street,,Manchester,CT,6040,753-43-6681,N,63,59,Y,2,H,Mortgage,MI,82929086,NQPE33737115459661,Bachelor,A,Major Loss,None,1,1,CA,Livermore,4,AGENT00319,
8/6/2020 0:00,TXN00000221,A00000704,PLC00002509,5/3/2013,20/5/2020,25/5/2020,Health,190.93,1000,Peter Jones,125 Summer Street,,Manchester,CT,6040,051-53-1038,Y,46,12,Y,7,L,Own,MI,25577152,RVZF34897936886560,Bachelor,A,Major Loss,Other,1,0,VT,Randolph,2,AGENT00162,VNDR00395
8/6/2020 0:00,TXN00000223,A00009037,PLC00001490,9/8/2011,24/5/2020,29/5/2020,Health,119.13,13000,Buddy Hinkle,653 Vermont 12,,Hartland,VT,5048,002-26-6560,Y,50,84,Y,7,M,Own,MI,68143381,LIFV50323629362199,Masters,A,Major Loss,None,1,0,MD,Crownsville,10,AGENT00601,
9/6/2020 0:00,TXN00000226,A00003800,PLC00009464,14/3/2014,24/5/2020,29/5/2020,Health,118.33,7000,Thomas Hickson,1261 Steamboat Drive,#3,Fayetteville,AR,72704,593-56-3766,Y,50,73,Y,4,H,Own,MI,55229467,EGPN11128071675298,High School,A,Major Loss,None,1,1,CT,Manchester,3,AGENT00395,VNDR00168
9/6/2020 0:00,TXN00000233,A00008547,PLC00007452,14/12/2011,2/6/2020,4/6/2020,Health,129.55,5000,Randi Dinsmoor,2316 Northwest 113th Street,,Oklahoma City,OK,73120,563-41-0141,N,45,51,Y,4,M,Rent,HI,120090424,KLNQ44323456771787,MD,A,Total Loss,Ambulance,1,1,CO,Greeley,8,AGENT00980,VNDR00313
9/6/2020 0:00,TXN00000235,A00007605,PLC00008431,22/4/2011,24/5/2020,29/5/2020,Health,149.02,2000,Walter Daughtry,17433 Teklanika Drive,,Anchorage,AK,99577,711-81-1226,N,36,109,Y,2,H,Mortgage,MI,81450857,BSRL46269462933100,Masters,A,Major Loss,Ambulance,0,1,CO,Arvada,19,AGENT00660,
10/6/2020 0:00,TXN00000250,A00005816,PLC00005168,12/8/2018,30/5/2020,4/6/2020,Health,190.93,4000,Jennifer Macdonald,152 Teddy Drive,,Union City,CA,94587,776-68-6774,Y,45,8,Y,7,H,Mortgage,HI,10440016,GUCT24555967299339,Bachelor,A,Major Loss,Ambulance,1,1,CT,Manchester,14,AGENT00367,VNDR00529
10/6/2020 0:00,TXN00000266,A00004971,PLC00002386,28/11/2014,31/5/2020,3/6/2020,Health,149.03,2000,Ryan Perez,802 Virginia Avenue,,Lynn Haven,FL,32444,404-50-1354,Y,36,111,Y,5,M,Mortgage,MI,39637606,PMEN38704566633943,College,A,Major Loss,None,1,0,CT,Manchester,19,AGENT00480,VNDR00509
11/6/2020 0:00,TXN00000272,A00000412,PLC00003751,14/11/2013,8/6/2020,8/6/2020,Health,131.7,11000,Ethel Forti,2622 Martin Luther King Junior Boulevard,,Fayetteville,AR,72704,092-62-1896,Y,26,6,Y,7,M,Rent,MI,26646464,RYSF86065317836886,High School,A,Major Loss,None,1,0,OK,Edmond,20,AGENT00115,VNDR00545
11/6/2020 0:00,TXN00000274,A00008093,PLC00008826,21/8/2012,29/5/2020,3/6/2020,Health,180.34,12000,Griselda Blackman,7450 Wade Circle,,Anchorage,AK,99518,699-35-4813,Y,62,86,Y,3,M,Rent,MI,66780649,SMCV98011257015265,Bachelor,A,Total Loss,Ambulance,1,1,CO,Arvada,23,AGENT00667,
11/6/2020 0:00,TXN00000277,A00008295,PLC00001572,24/7/2018,1/6/2020,4/6/2020,Health,141.15,11000,Christopher Vollmer,32 Royal Drive,,Louisville,KY,40214,570-81-9012,Y,46,80,Y,2,M,Own,MI,52396115,ZMPH49852398928788,High School,A,Minor Loss,Other,1,1,KY,Louisville,10,AGENT00741,
11/6/2020 0:00,TXN00000283,A00004975,PLC00000973,30/8/2014,24/5/2020,29/5/2020,Health,117.02,19000,Mitchell Schultz,9302 West 58th Avenue,,Arvada,CO,80002,321-79-6627,Y,56,37,Y,5,H,Own,HI,45586026,EFRB10366659869678,NA,A,Minor Loss,Ambulance,0,0,CO,Arvada,19,AGENT00542,
11/6/2020 0:00,TXN00000284,A00002933,PLC00007090,17/7/2012,26/5/2020,31/5/2020,Health,113.93,10000,Andrea Rivera,307 Joel Street,,Pooler,GA,31322,006-28-7382,Y,63,40,Y,6,M,Rent,MI,124925524,WKLE63262791439705,MD,D,Major Loss,Ambulance,0,1,OK,Midwest City,6,AGENT00647,VNDR00377
12/6/2020 0:00,TXN00000300,A00004346,PLC00007834,15/10/2013,1/6/2020,6/6/2020,Health,107.93,19000,Gabriel Vangieson,2928 Avon Road,,Panama City,FL,32405,714-73-5400,N,59,36,Y,6,M,Mortgage,MI,17686608,RLYO18394811074102,College,D,Major Loss,Ambulance,0,0,TN,Nashville,10,AGENT00825,
12/6/2020 0:00,TXN00000305,A00006175,PLC00004012,9/10/2013,29/5/2020,3/6/2020,Health,151.57,5000,Rebecca Ramirez,6740 West Montebello Avenue,#3B,Glendale,AZ,85303,342-59-6947,Y,30,102,Y,7,H,Own,MI,38079456,GLCU49524621283061,Masters,A,Total Loss,None,1,1,VT,,22,AGENT00922,
12/6/2020 0:00,TXN00000309,A00000282,PLC00003414,21/2/2018,26/5/2020,31/5/2020,Health,116.33,4000,Nathan Yusef,6505 South Lagoon Drive,,Panama City Beach,FL,32408,880-47-3295,N,54,98,N,5,M,Rent,MI,29392197,JCZA59284212244287,High School,A,Major Loss,Police,1,1,AK,Anchorage,15,AGENT00921,VNDR00513
12/6/2020 0:00,TXN00000311,A00006472,PLC00002326,28/2/2018,31/5/2020,5/6/2020,Health,107.76,4000,Gina Butler,1720 Quacco Road,A,Pooler,GA,31322,689-71-7015,N,36,91,Y,2,M,Rent,LI,19320577,OBRQ69719627723633,Bachelor,A,Total Loss,Police,0,1,CO,Arvada,9,AGENT00278,VNDR00364
13/6/2020 0:00,TXN00000318,A00004584,PLC00004585,19/10/2015,25/5/2020,30/5/2020,Health,125.57,5000,Thomas Conlisk,1632 North Lunsford Avenue,,Fayetteville,AR,72701,251-01-1239,Y,50,80,Y,4,M,Own,MI,85873689,DOCU12941022669182,MD,A,Minor Loss,Ambulance,0,1,TN,Nashville,23,AGENT00923,VNDR00415
13/6/2020 0:00,TXN00000319,A00009111,PLC00004631,18/2/2015,27/5/2020,1/6/2020,Health,151.18,2000,Gerard Duncan,159 North Pawlet Road,,Pawlet,VT,5761,401-71-7096,Y,38,33,N,6,M,Own,LI,30813445,GFIX10293812157371,College,A,Minor Loss,Police,1,1,MD,Pasadena,6,AGENT00066,VNDR00183
13/6/2020 0:00,TXN00000320,A00005461,PLC00004097,13/2/2012,27/5/2020,1/6/2020,Health,181.48,10000,Charlene Schnitker,2961 Vinson Road,,Montgomery,AL,36110,741-74-1659,Y,62,34,N,3,M,Mortgage,MI,57278364,GEDH60560282050802,Masters,A,Minor Loss,Ambulance,1,0,AL,Montgomery,3,AGENT00614,VNDR00324
13/6/2020 0:00,TXN00000329,A00009658,PLC00005025,25/9/2015,24/5/2020,29/5/2020,Health,168.21,16000,David Peterson,5792 Owl Hill Avenue,,Santa Rosa,CA,95409,131-97-1818,Y,60,53,Y,6,M,Own,MI,45119493,UNFF56959734266135,College,A,Major Loss,Ambulance,1,1,CA,Selma,10,AGENT00095,
13/6/2020 0:00,TXN00000331,A00008673,PLC00004011,5/7/2013,9/6/2020,10/6/2020,Health,117.76,5000,Marilyn Henry,12 Fletcher Lane,,Shelburne,VT,5482,401-04-3265,Y,57,60,Y,7,L,Mortgage,MI,34535363,BRTP42088374018930,MD,A,Total Loss,Ambulance,0,1,OK,Edmond,16,AGENT00196,VNDR00005
14/6/2020 0:00,TXN00000340,A00006198,PLC00003498,14/6/2011,25/5/2020,30/5/2020,Health,169.13,6000,Bettie Cook,1629 South Razorback Road,#108,Fayetteville,AR,72701,208-80-3830,Y,52,109,Y,7,H,Mortgage,HI,120716216,QGCI61623796284020,Masters,A,Total Loss,Ambulance,1,1,CT,Manchester,14,AGENT01039,VNDR00106
14/6/2020 0:00,TXN00000343,A00002041,PLC00000086,25/5/2013,12/6/2020,12/6/2020,Health,181.09,15000,Irene Nixon,5208 Colorado Avenue Northwest,,Washington,DC,20011,054-57-1971,Y,50,8,Y,3,L,Mortgage,HI,93774123,MBUZ28344171261523,Masters,A,Minor Loss,Police,0,1,KY,Louisville,4,AGENT00763,
14/6/2020 0:00,TXN00000346,A00007981,PLC00001538,1/4/2013,28/5/2020,2/6/2020,Health,120.46,11000,Timothy Carter,26 Seaman Circle,,Manchester,CT,6040,642-32-3820,Y,36,42,Y,5,M,Rent,LI,59799760,KHAC13975972984827,Bachelor,A,Total Loss,Other,1,0,GA,Pooler,15,AGENT01176,
14/6/2020 0:00,TXN00000349,A00002084,PLC00003715,9/12/2012,25/5/2020,30/5/2020,Health,126.27,16000,Herman Decoteau,4 Stemson Way,,Port Wentworth,GA,31407,162-52-3157,Y,50,58,Y,6,L,Rent,HI,33899754,RZAQ60845132850724,College,A,Minor Loss,Ambulance,1,1,AR,Fayetteville,6,AGENT00543,VNDR00484
14/6/2020 0:00,TXN00000361,A00008500,PLC00002970,30/1/2015,6/6/2020,9/6/2020,Health,157.08,5000,Johnnie Collazo,8801 North 63rd Drive,,Glendale,AZ,85302,718-83-3519,N,42,98,Y,2,H,Own,LI,16866034,KMHC67502942433704,Masters,A,Total Loss,Ambulance,0,1,AL,Montgomery,6,AGENT00577,VNDR00109
15/6/2020 0:00,TXN00000372,A00008129,PLC00001045,11/6/2012,1/6/2020,6/6/2020,Health,183.36,6000,Randal Klein,7024 Johnny Mercer Boulevard,,Savannah,GA,31410,199-71-8475,Y,59,119,Y,5,M,Rent,MI,94446049,MEYE99699041448259,High School,A,Minor Loss,Ambulance,1,0,AL,Montgomery,17,AGENT00253,
15/6/2020 0:00,TXN00000378,A00002958,PLC00009834,15/3/2014,11/6/2020,12/6/2020,Health,195.7,5000,Faye Moore,5529 East Saddleridge Drive,,Fayetteville,AR,72703,040-09-4040,Y,52,78,Y,7,M,Mortgage,HI,81436703,VZQV81944460608333,NA,A,Total Loss,Ambulance,1,1,AZ,Glendale,15,AGENT00420,
15/6/2020 0:00,TXN00000379,A00006631,PLC00001795,20/8/2013,4/6/2020,9/6/2020,Health,135.65,10000,David Williams,6748 West San Juan Avenue,,Glendale,AZ,85303,595-30-8506,Y,60,66,Y,3,M,Own,HI,117141360,VDSM11955475769982,Bachelor,A,Total Loss,None,1,1,KY,Louisville,23,AGENT00214,VNDR00034
15/6/2020 0:00,TXN00000384,A00001261,PLC00003674,20/8/2017,12/6/2020,12/6/2020,Health,193.07,15000,Mario Caruso,3905 Lyceum Avenue,,Los Angeles,CA,90066,690-10-7315,N,47,98,Y,3,M,Rent,HI,61093195,GGOI45279315921316,High School,A,Major Loss,Police,1,1,CA,Alameda,8,AGENT01192,VNDR00448
15/6/2020 0:00,TXN00000385,A00005509,PLC00001109,24/3/2015,6/6/2020,9/6/2020,Health,141.39,12000,Scott Phillips,3500 15th Street Northeast,,Washington,DC,20017,888-87-0661,Y,36,74,Y,3,L,Own,MI,77972239,DLSC25945363763517,Bachelor,A,Minor Loss,Other,1,1,CO,Evergreen,7,AGENT00471,
15/6/2020 0:00,TXN00000388,A00008791,PLC00003092,8/12/2011,13/6/2020,13/6/2020,Health,102.47,18000,William Santiago,7851 Snow View Drive,,Anchorage,AK,99507,249-24-0310,N,37,8,Y,7,M,Mortgage,MI,85324688,PNXI51847312712988,NA,A,Total Loss,Other,0,1,MD,Severna Park,12,AGENT01041,VNDR00211
15/6/2020 0:00,TXN00000398,A00002966,PLC00007629,3/5/2015,2/6/2020,7/6/2020,Health,154.17,15000,Carlos Chary,427 Gulf View Drive,,Panama City Beach,FL,32413,333-38-3415,N,57,88,Y,3,L,Own,HI,101881762,QKVL01367717246909,Bachelor,A,Major Loss,Ambulance,1,0,MD,Gambrills,9,AGENT00938,VNDR00470
16/6/2020 0:00,TXN00000406,A00002331,PLC00006307,28/5/2017,29/5/2020,3/6/2020,Health,172.4,19000,Ruth Reamy,404 Middle Turnpike West,,Manchester,CT,6040,844-02-9210,N,58,92,Y,3,M,Own,LI,67033081,CBQL57685453189226,Bachelor,A,Minor Loss,Police,1,1,CA,San Leandro,22,AGENT01076,VNDR00582
16/6/2020 0:00,TXN00000414,A00003486,PLC00006559,26/12/2012,2/6/2020,7/6/2020,Health,108.02,15000,Robert Stoute,2057 Lucas Street,,Montgomery,AL,36107,014-68-8004,Y,28,91,Y,7,L,Rent,MI,11004697,TPTC11052076183712,Bachelor,A,Major Loss,Other,0,0,MD,Severn,13,AGENT00529,VNDR00537
16/6/2020 0:00,TXN00000421,A00000369,PLC00000836,10/6/2018,6/6/2020,9/6/2020,Health,103.4,2000,Meridith Hoag,2355 Pearl Point,#5?,Fayetteville,AR,72701,350-09-4220,Y,32,7,Y,3,L,Own,MI,43260315,EDOP28493702056183,College,D,Major Loss,Police,1,1,DC,Washington,16,AGENT00799,
17/6/2020 0:00,TXN00000434,A00004710,PLC00000539,23/12/2010,5/6/2020,10/6/2020,Health,109.65,18000,Erik Hester,8277 Lamar Place,,Arvada,CO,80003,103-99-0195,Y,32,94,Y,6,M,Mortgage,MI,18469219,JCVB25790554105847,College,A,Major Loss,Other,0,1,OK,Edmond,5,AGENT00765,VNDR00323
17/6/2020 0:00,TXN00000439,A00002883,PLC00004459,31/10/2013,6/6/2020,11/6/2020,Health,103.64,7000,Robert Desatnik,112 Joyner Avenue,,Nashville,TN,37210,011-45-3226,Y,41,119,Y,3,L,Mortgage,MI,26488965,CKIF97313442226310,Bachelor,A,Total Loss,Police,1,1,TN,Nashville,6,AGENT00140,VNDR00109
17/6/2020 0:00,TXN00000445,A00009114,PLC00000450,23/7/2016,13/6/2020,14/6/2020,Health,143.83,20000,Ramonita Nunez,1217 Cottondale Road,,Montgomery,AL,36109,417-67-1092,Y,48,29,Y,2,H,Own,MI,30189470,YCLF58529837414102,Bachelor,D,Major Loss,Police,1,1,AR,Fayetteville,22,AGENT01117,VNDR00408
17/6/2020 0:00,TXN00000446,A00004624,PLC00008314,15/10/2018,3/6/2020,8/6/2020,Health,189.2,14000,Jeffrey Benner,780 South Wilmington Avenue,#107,Fayetteville,AR,72701,635-73-4442,Y,57,8,N,5,M,Mortgage,MI,101393425,TKBK97848571375270,High School,A,Major Loss,None,0,1,OK,Oklahoma City,10,AGENT00429,VNDR00280
17/6/2020 0:00,TXN00000447,A00008629,PLC00002046,18/4/2012,6/6/2020,11/6/2020,Health,143.39,9000,Donald Rieck,2200 East Victory Drive,#36,Savannah,GA,31404,667-25-1189,Y,57,75,Y,4,M,Own,LI,125663131,SVGI38809847704664,NA,A,Major Loss,Ambulance,1,0,DC,Washington,21,AGENT00311,
17/6/2020 0:00,TXN00000453,A00005933,PLC00008343,31/7/2016,5/6/2020,10/6/2020,Health,103.05,14000,Kimberly Lesh,2223 North Fernwood Court,,Savannah,GA,31404,015-36-4360,Y,33,87,Y,3,L,Rent,HI,100009260,DOXB60493905751749,High School,A,Total Loss,Police,1,0,TN,Nashville,2,AGENT00890,
18/6/2020 0:00,TXN00000457,A00002721,PLC00008721,7/9/2017,3/6/2020,8/6/2020,Health,167.32,1000,Gary Green,10222 Pine Glen Circle,,Louisville,KY,40291,163-87-7245,Y,51,68,Y,7,M,Own,MI,72663226,ULGF55685955136908,Bachelor,A,Minor Loss,Police,0,1,CA,Alameda,5,AGENT01199,VNDR00115
18/6/2020 0:00,TXN00000458,A00009630,PLC00009616,26/5/2019,7/6/2020,12/6/2020,Health,102.2,14000,David Schmid,712 Parkside Place Northeast,,Washington,DC,20019,843-10-7272,Y,47,44,Y,5,M,Own,MI,91050315,LHSO36854985577767,Bachelor,D,Total Loss,Ambulance,0,1,MD,Annapolis,12,AGENT00101,VNDR00523
18/6/2020 0:00,TXN00000465,A00008118,PLC00008787,16/9/2017,4/6/2020,9/6/2020,Health,136.09,3000,Roger Dodson,1718 Underwood Road,,Gambrills,MD,21054,249-15-7013,Y,41,9,N,6,H,Own,MI,97074366,QCPW44737090252474,College,A,Major Loss,Police,1,1,GA,Pooler,0,AGENT00436,VNDR00593
19/6/2020 0:00,TXN00000491,A00000004,PLC00003596,16/12/2018,3/6/2020,8/6/2020,Health,122.21,12000,Norma Manning,3701 Lake Towne Drive,,Nashville,TN,37013,650-65-7274,N,34,10,Y,5,H,Rent,LI,103596246,HAJP34291129864764,Bachelor,A,Major Loss,Ambulance,1,0,CA,Fremont,2,AGENT00777,VNDR00265
19/6/2020 0:00,TXN00000505,A00004873,PLC00007822,3/2/2011,5/6/2020,10/6/2020,Health,130.06,17000,Bruce Weinstein,915 Arkansas Avenue,,Lynn Haven,FL,32444,380-63-8544,Y,46,9,Y,2,M,Rent,MI,69833519,OTMS62044555160384,Bachelor,A,Major Loss,Ambulance,1,1,AR,Fayetteville,6,AGENT01001,
